"Mã ảnh","Tên tệp","Thư mục trước","Thư mục sau","Căn cứ xếp","Nội dung nhìn thấy","Đang được dùng","Địa chỉ xem","Dung lượng (byte)"
"01e036ec-b082-3aca-9f93-0b92aacf7b93","LS2-OF616-05.jpg","Chưa phân loại","Sản phẩm / LS2","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/cd/cd37e1b75835e5c626af12fc7362109593b5ab468ae0b1c4a6f4a6488dd8e6fa/LS2-OF616-05.jpg","59876"
"01e19a04-310d-4e10-b4d6-181feaa2af84","z7312184252483_a870750d0c0fb41af0d4dddce5f9d010.jpg","Chưa phân loại","Sản phẩm / GIVI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2025/12/z7312184252483_a870750d0c0fb41af0d4dddce5f9d010.jpg","28869"
"01f34cff-c30e-4cd0-b2c2-217c01f19006","phuot-ha-giang-5.jpg","Chưa phân loại","Bài viết / 2023","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2023/04/phuot-ha-giang-5.jpg","72301"
"021341fe-3fa2-3044-9ca1-5efdef048dfa","garager30_rstaichi-nxt056_1_d_20230315155102.jpg","Chưa phân loại","Sản phẩm / TAICHI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/d6/d6c08d3a2a82f0036c52c850f35191803f90999af67b713feff2e74d8fde72ed/garager30_rstaichi-nxt056_1_d_20230315155102.jpg","49848"
"0249dbce-8acd-476d-9944-5d995bca25e8","7-quan-bao-ho-giup-giam-e-mong-hieu-qua.jpg","Chưa phân loại","Bài viết / 2023","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2023/08/7-quan-bao-ho-giup-giam-e-mong-hieu-qua.jpg","38089"
"024f549e-7f04-3424-a2f2-2033933828ff","size-ao-ls2.jpg","Chưa phân loại","Sản phẩm / LS2","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/c3/c3b3792613bdd89e33811e864fea9ac821968210b8fe83ad949568ed47716892/size-ao-ls2.jpg","35359"
"025530ba-5bba-31b8-a00b-861e8629319a","giap-01.jpg","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","giáp bảo hộ chân màu đen","Không","http://localhost:3000/media/migration/wordpress/ed/ed3f257b750845f244c54c047ec04bc54548fd1a76eef19a3165883676872bb8/giap-01.jpg","2182"
"026919a2-0417-49a2-9ccf-953e7a6514b7","about-service-4.png","Chưa phân loại","Ảnh minh hoạ","Nhìn trực tiếp nội dung ảnh","biểu tượng vương miện màu đen","Không","http://localhost:3000/media/uploads/seed/about-service-4.png","1386"
"0271f6f5-9497-45eb-8333-f513fe07ee6f","AO-BAO-HO-MUA-HE-LUOI-TAICHI-RSJ351-AIR-03-2.jpg","Chưa phân loại","Sản phẩm / TAICHI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2025/07/AO-BAO-HO-MUA-HE-LUOI-TAICHI-RSJ351-AIR-03-2.jpg","102495"
"02794a9d-2e6d-3904-9377-46291f29b9b7","cach-bao-quan-non-bh-bigbike.jpg","Chưa phân loại","Sản phẩm / LS2","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/04/0486c3e4edea657e84a95cfc06cad026ae2c27db2b403354aa53b42e4bf466be/cach-bao-quan-non-bh-bigbike.jpg","262321"
"027c1dcb-d99d-3ce1-ae09-5c76b4b013d8","z7380939864291_65bf7e814d8455a108c3b24aabcfcd7b.jpg","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","mũ bảo hiểm màu đen nhìn chính diện","Không","http://localhost:3000/media/migration/wordpress/88/88dce8ceffe40e7d417f4729343c340f7aba1301cbe3cf75971223748cde540e/z7380939864291_65bf7e814d8455a108c3b24aabcfcd7b.jpg","87298"
"027dcfa8-20c4-4c19-9073-e1ebb515ccd5","Ly-do-dan-di-chuyen-chon.jpg","Chưa phân loại","Ảnh minh hoạ","Nhìn trực tiếp nội dung ảnh","hai người mặc trang phục ngoài trời trên phố","Không","http://localhost:3000/media/wp-uploads/2026/02/Ly-do-dan-di-chuyen-chon.jpg","56452"
"027e5a56-7580-3afb-90aa-72dbf5357b98","giap-chan-komine-sk-6843.jpg","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","cặp giáp gối và ống quyển màu đen","Không","http://localhost:3000/media/migration/wordpress/dc/dcdd142403b277c97f613c9c0053c1bec62647cb7de2cf5a1e3e2ec17601bb7a/giap-chan-komine-sk-6843.jpg","24119"
"0284a8c5-8ba1-4da9-a415-493cd732d591","image1-min-2.jpg","Chưa phân loại","Bài viết / 2025","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2025/01/image1-min-2.jpg","37345"
"02b03639-ce0b-4e2c-a10e-149335c13142","gang-tay-bao-ho-ls2-ray-lady-2.jpeg","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","cận cảnh lớp lưới thoáng khí của đồ bảo hộ","Không","http://localhost:3000/media/wp-uploads/2024/01/gang-tay-bao-ho-ls2-ray-lady-2.jpeg","189112"
"02b09fbb-767a-495e-a278-dbb71a15a5a6","EBC-WS902_01_2048x2048.webp","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2026/03/EBC-WS902_01_2048x2048.webp","88566"
"02cae3d5-1f3b-41ae-a45e-523c598c5c30","xehay-BMW-hybrid-motorcycle-030417-3.jpg","Chưa phân loại","Bài viết / 2020","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2020/06/xehay-BMW-hybrid-motorcycle-030417-3.jpg","86726"
"02d82ac3-47c2-442e-b456-f681d22ccd49","z7717248318775_a2bbc1d9de5b03cd7fd5ce524390013f.jpg","Chưa phân loại","Sản phẩm / AGV","Nhìn trực tiếp nội dung ảnh","mũ bảo hiểm AGV màu đen đỏ","Không","http://localhost:3000/media/wp-uploads/2026/04/z7717248318775_a2bbc1d9de5b03cd7fd5ce524390013f.jpg","94689"
"03284a33-5a36-4a78-ba74-b3bb8c56ad6d","z7717246438161_e7df87ce52ec6ef33e13acaf950fbf3c.jpg","Chưa phân loại","Sản phẩm / AGV","Nhìn trực tiếp nội dung ảnh","mũ bảo hiểm AGV màu đen đỏ ở góc khác","Không","http://localhost:3000/media/wp-uploads/2026/04/z7717246438161_e7df87ce52ec6ef33e13acaf950fbf3c.jpg","100971"
"03465185-f9b3-3b2d-8959-ff01ecdef024","MU-BAO-HIEM-ILM-Z302-02-1.jpg","Chưa phân loại","Sản phẩm / ILM","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/6a/6aa9813c65dc357594714d8c26248783bec45c5aee2a2cc56ac8e1bccdf323a5/MU-BAO-HIEM-ILM-Z302-02-1.jpg","1869"
"034c85f6-2fee-3795-99b3-087267335d68","Tai-nghe-bluetooth-gan-fullface-mu-bao-hiem-mo-to-xe-may-phuot-SCS-S-13-6-1.jpg","Chưa phân loại","Sản phẩm / SCS","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/64/64c848592407cef666c7acb3b8bf93f4895ecd1fe6602246983a9fb9765894d5/Tai-nghe-bluetooth-gan-fullface-mu-bao-hiem-mo-to-xe-may-phuot-SCS-S-13-6-1.jpg","64967"
"0350ef4b-ca73-42c2-8476-6421755df477","image_2025-03-20_115234077-800x800-1.png","Chưa phân loại","Sản phẩm / TAICHI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2025/10/image_2025-03-20_115234077-800x800-1.png","1029192"
"036928fa-bfb9-34aa-81dc-465982dd240c","Forma-Ground-Dry-Black-Grey-01.png","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","đôi giày mô tô cổ cao màu đen xám","Không","http://localhost:3000/media/migration/wordpress/0c/0c18423fa56bb9bb4a20c83ea129926c3f28426aa900e79f51d3c1a5e1328aea/Forma-Ground-Dry-Black-Grey-01.png","84013"
"036d926b-3e55-44cd-9492-7a439bd4202a","ao-quan-bao-ho-mo-to-bigbike-banner-share.jpg","Chưa phân loại","Banner","Nhìn trực tiếp nội dung ảnh","banner quảng cáo áo quần bảo hộ mô tô","Không","http://localhost:3000/media/uploads/6d9ecfdc-b7f8-44b3-9c26-834990f8008c/ao-quan-bao-ho-mo-to-bigbike-banner-share.jpg","98209"
"039c2d02-6024-3228-bd6d-4b14a3b8b2c4","giap-chan-komine-sk-684.jpg","Chưa phân loại","Sản phẩm / KOMINE","Nhìn trực tiếp nội dung ảnh","cặp giáp gối và ống quyển KOMINE","Không","http://localhost:3000/media/migration/wordpress/6b/6b70c05e3aa7d1ded379791ea1538873cb3c1a24c69130f2f693c17f1817423a/giap-chan-komine-sk-684.jpg","22316"
"03b8441f-082a-4f6a-8911-dd05c6e3f704","giay-moto-giay-dua-ilm-brc1-den-do-cao-co-chup-mat-trong-anh-chup-studio-shop-bigbike.webp","Chưa phân loại","Sản phẩm / ILM","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/uploads/815f5b48-5a8a-41a2-8d51-c725bbf82287/giay-moto-giay-dua-ilm-brc1-den-do-cao-co-chup-mat-trong-anh-chup-studio-shop-bigbike.webp","243496"
"03e35b35-cc0c-3627-b80a-cdad2151c453","quan-bao-ho-di-mo-to-xe-may-phuot-Taichi-RS-Taichi-RSY258-06-06.jpg","Chưa phân loại","Sản phẩm / TAICHI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/45/45834b9f7ae0dc683d1f450bebb9215d063693f8ebf152de2ddfa862b8d53271/quan-bao-ho-di-mo-to-xe-may-phuot-Taichi-RS-Taichi-RSY258-06-06.jpg","86590"
"03e7b1ec-5bd0-469a-9a07-c3e3defa2ed1","5_c304fa39-98d7-4721-a08c-5e9b8ef0dd42.webp","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","đôi giày mô tô cổ cao màu đen nhìn nhiều góc","Không","http://localhost:3000/media/uploads/edb1a392-bb81-466b-9169-0debd9f35878/5_c304fa39-98d7-4721-a08c-5e9b8ef0dd42.webp","57306"
"03fc4a4a-7fb6-32f8-93d1-e8b330ef2996","gang-tay-ls2-all-terrain-ii-1.jpg","Chưa phân loại","Sản phẩm / LS2","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/e7/e79835682b45bd689d44e7cdad1b2eecbaf43dae1df5396e0e2b0428b8daabb3/gang-tay-ls2-all-terrain-ii-1.jpg","263492"
"04194ffd-c3fd-4ff8-b9d7-0dc12d182ab0","Gang-tay-bao-ho-di-mo-to-xe-may-phuot-TAICHI-RST463-5.jpg","Chưa phân loại","Sản phẩm / TAICHI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2023/09/Gang-tay-bao-ho-di-mo-to-xe-may-phuot-TAICHI-RST463-5.jpg","42403"
"04257480-e2e1-36df-8300-2f4450301a36","Urban-City-Forma-Ground-Flow-Black-Grey-03.png","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","đôi giày mô tô cổ cao màu đen xám","Không","http://localhost:3000/media/migration/wordpress/1d/1d4971be76368e4a2f755f9786c90d78ec26d15a33ff9e75634ddee45b87eda7/Urban-City-Forma-Ground-Flow-Black-Grey-03.png","83507"
"044ad06e-08e0-41b2-b622-98c2d1f44cf7","pasted-image-0-4-1.png","Chưa phân loại","Bài viết / 2021","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2021/04/pasted-image-0-4-1.png","76102"
"04cf806d-00a4-496d-b668-9c1437e6fd6f","unnamed-4.png","Chưa phân loại","Bài viết / 2020","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2020/08/unnamed-4.png","217796"
"04d775ff-1a04-4830-93a0-0ced196c90b1","QUAN-GIAP-JEAN-BAO-HO-KOMINE-WJ-7543R-CMAX-PROTECT-COOL-DRY-02.jpg","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","người mẫu mặc quần jean bảo hộ mô tô","Không","http://localhost:3000/media/wp-uploads/2024/04/QUAN-GIAP-JEAN-BAO-HO-KOMINE-WJ-7543R-CMAX-PROTECT-COOL-DRY-02.jpg","58996"
"04db2201-4947-4bdb-8e04-71e5ec4322af","AO-NAM-NU-TAICHI-RSJ729-DRYMASTER-KOMPASS-ALL-SEASON-03.jpg","Chưa phân loại","Sản phẩm / TAICHI","Nhìn trực tiếp nội dung ảnh","áo khoác bảo hộ mô tô TAICHI màu đen","Không","http://localhost:3000/media/wp-uploads/2024/02/AO-NAM-NU-TAICHI-RSJ729-DRYMASTER-KOMPASS-ALL-SEASON-03.jpg","53648"
"04e2d095-ca13-4543-a2b8-fc1a8e20d208","GIAY-CAO-CO-BAO-HO-DUA-ILM-BRC1-03-1.jpg","Chưa phân loại","Sản phẩm / ILM","Nhìn trực tiếp nội dung ảnh","đôi ủng mô tô ILM màu đen đỏ","Không","http://localhost:3000/media/wp-uploads/2025/10/GIAY-CAO-CO-BAO-HO-DUA-ILM-BRC1-03-1.jpg","92585"
"04e9e051-38d8-4a51-85e3-64de00d37a3b","IMG_5045.jpeg","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","mũ bảo hiểm fullface trưng bày trong cửa hàng","Không","http://localhost:3000/media/wp-uploads/2026/01/IMG_5045.jpeg","315710"
"04f34016-3ca0-3c09-a9b6-4b11a337b611","AO-BAO-HO-TAICHI-RSJ342-QUICK-DRY-RACER-JACKET3.jpg","Chưa phân loại","Sản phẩm / TAICHI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/e0/e087ad8ff55459c32a6348583e51db3670cc31da478a73ad6b14a6325520cbac/AO-BAO-HO-TAICHI-RSJ342-QUICK-DRY-RACER-JACKET3.jpg","291189"
"0501c243-6306-3a07-b826-bb48f34fe57f","nham2-scaled.jpg","Chưa phân loại","Sản phẩm / XPEED","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/06/06196a65350781bc579257b063e96e33fc89b744224ed5425699a2aa267b73e7/nham2-scaled.jpg","762744"
"0501fc76-100e-41ae-8d0b-3da7bf31eb91","dia-diem-phuot-gan-ha-noi.jpg","Chưa phân loại","Bài viết / 2022","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2022/12/dia-diem-phuot-gan-ha-noi.jpg","76452"
"0508d4dd-c625-4817-8072-5f086d931eae","z7536241817994_8029030ec34a83b879bb5965b6ea73a6.jpg","Chưa phân loại","Sản phẩm / ILM","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2026/02/z7536241817994_8029030ec34a83b879bb5965b6ea73a6.jpg","178383"
